artist_id,artist_name,genre,artist_hotness
78,Lesley Gore,brill building pop,0.3891007762801808
79,Smartbomb,melodic hardcore,0.3224851056611973
80,Suburbs,british pop,0.3356518391847009
81,Emperor,heavy metal,0.45339118607533013
82,Julien Clerc,chanson,0.36438492446826576
83,Glen Campbell,country rock,0.4810242392118726
84,T.G. Sheppard,country rock,0.34328188178708335
85,Slim Whitman,folk-pop,0.38666909170602387
86,Savage Garden,easy listening,0.5380702951237828
87,Queens Of The Stone Age,stoner metal,0.5524133455169445
88,Hank Penny & The Lincoln Penny Orchestra,western swing,0.3475988886835368
89,Inspiral Carpets,indie rock,0.39854753538058046
90,Borialis,rap rock,0.4214151025424071
91,The Dirty Skirts,indie rock,0.40418220665370436
92,Flor Silvestre,ranchera,0.3135693426838017
93,Bézu,chanson,0.1489854809922737
94,Redman,hip hop,0.49356684269655965
95,Solistiyhtye Suomi,german pop,0.3178109598122704
96,Eddie Cantor,easy listening,0.33109012633891616
97,Schizoid,breakcore,0.34919221761645924
98,Kai Winding,hard bop,0.3163540008222974
99,Sonny Simmons,free jazz,0.317833879200262
100,Mira,shoegaze,0.34575124701970267
101,Citizen Kaned,chill-out,0.27756173775343046
102,The Brooklyn Tabernacle Choir,gospel,0.4320119468576032
103,Ellen McIlwaine,blues-rock,0.3251485709173023
104,Vince Guaraldi / Bola Sete,latin jazz,0.4148926124367487
105,Maurice Chevalier,chanson,0.3915853290262099
106,Carl Cox Vs Yousef,tech house,0.38418425849676846
107,Organized Konfusion,hip hop,0.4126716309926985
108,Martina McBride,country,0.6282464191914875
109,Horace Andy,roots reggae,0.3742711738564048
110,Nazz,freakbeat,0.3841464443048954
111,Tyrone Davis,chicago soul,0.3932151037866921
112,Hot Tuna,blues-rock,0.40517835890761195
113,Richard Burton,jazz fusion,0.28404740990087485
114,Rory Block,delta blues,0.34318504527257115
115,Boyz II Men,new jack swing,0.6011849417940898
116,Howard Armstrong,piedmont blues,0.0
117,Donny Hathaway,jazz funk,0.4224724232432197
118,Miguel Gallardo,male vocalist,0.33510142487208283
119,Les Ogres De Barback,chanson,0.4379647331417924
120,DJ X-Change featuring DJ Joey A,ghetto tech,0.28128421554929817
121,Morel,dance pop,0.3340657898380008
122,Tony Joe White,country rock,0.4035096733630853
123,Wolfmother,stoner metal,0.5669715662185826
124,The Roches,singer-songwriter,0.37225120793006455
125,Bob Margolin,blues-rock,0.3268488180257514
126,Thomas Battenstein,guitar,0.0
127,Jupiter Rising,pop rap,0.3631778606591337
128,Dharma Bums,progressive house,0.3458094431841164
129,Saafir,hip hop,0.3189020778687955
130,The Verve Pipe,post-grunge,0.4983953383497739
131,Bob Neuwirth,singer-songwriter,0.30150246185842855
132,Marvin Sapp,gospel,0.4596654567282773
133,James Hunter,blue-eyed soul,0.4315269192148132
134,Nelson Ned,latin jazz,0.32188268994567615
135,Mish Mash,vocal house,0.351210536532264
136,Cama,los angeles,0.27345372725278577
137,Maxi Priest,lovers rock,0.44689072654931333
138,Porcupine Tree,experimental rock,0.5079658021593736
139,Ragheb Alama,arabesque,0.4249318351787764
140,Foo Fighters,grunge,0.5507620846559074
141,Shakira Featuring Wyclef Jean,dance pop,0.6822631767638205
142,The Avengers,rock,0.42251494013072466
143,Robben Ford,blues-rock,0.3838774936335668
144,Brazilian Tropical Orchestra,bossa nova,0.3394084863551408
145,Gil Semedo,zouk,0.3828699558929602
146,Xmilk,thrash core,0.32138373011129995
147,Dolce; Oscar G.,folk-pop,0.33708930033210055
148,Britt Nicole,ccm,0.544446276903691
149,Toni Braxton Featuring Shaggy,dance pop,0.555968803751809
150,Perrey And Kingsley,easy listening,0.35032760522744555
151,Sven Tasnadi,tech house,0.30660364129709755
152,Eddie,frevo,0.36223874670184913
153,Enthroned,black metal,0.39570954770762196
154,Milan Band,serialism,0.0
155,Johnny Osbourne,roots reggae,0.40913486879748406
156,Dolly Parton,bluegrass,0.6038764869181625
157,Rance Allen Group,jazz funk,0.3140117898326241
158,Pearl Jam,grunge,0.6079718095629023
159,Natalie Cole,vocal jazz,0.5077816674051294
160,Mastodon,alternative metal,0.5742747305168561
161,Kiril Valeri,flamenco,0.433945513830991
162,Word,blues-rock,0.24634071356237247
163,DJ Quik,gangster rap,0.41339391128749997
164,Hank Locklin,honky tonk,0.3794369722404727
165,BT,electronica,0.5122267383177268
166,2-4 Grooves feat. Reki D.,vocal house,0.4269442562357665
167,The Jordanaires,country gospel,0.28356259598084455
168,Descendents,hardcore punk,0.4765593789777819
169,L.A. Guns,heavy metal,0.45694055844157816
170,Bare Jr.,post-grunge,0.3605835821516753
171,Shelley Fabares,brill building pop,0.3701947010583135
172,Norrie Paramor,easy listening,0.2506012864465103
173,Gary Hobbs,tejano,0.38976551809145177
174,Diesel Boy,pop rock,0.37668863102209926
175,Angelo Badalamenti,chill-out,0.39945172400502926
176,Cradle Of Filth,sympho black metal,0.5725833363950456
177,Jim Chappell,chamber jazz,0.36150980217715184
178,Ladybug,dancehall,0.22005076466880738
179,Bandido,hard house,0.32785892465345917
180,Brixx,rap,0.0
181,Susana Seivane,gaita,0.2979492662186256
182,Leland Martin,honky tonk,0.2721901520589511
183,Test Icicles,grime,0.3734642277637134
184,Heaven 17,new romantic,0.46155845195981815
185,React,happy hardcore,0.2473405842381235
186,Mance Lipscomb,texas blues,0.3323898702808034
187,Scott Wesley Brown,modern rock,0.34240639110484233
188,Flávio José,brazil,0.29547099049043
189,Moss,future jazz,0.3895355761888646
190,Pery Ribeiro,bossa nova,0.31213122149558203
191,Soular,breakbeat,0.276702624728755
192,Dimmu Borgir,black metal,0.5996026426495992
193,Public Image Ltd,dance rock,0.41551708285972627
194,Gary Moore,blues-rock,0.4671106485845494
195,Pascal Sangla,french pop,0.0
196,The B-52's,dance rock,0.5375372013052252
197,Dakis,greek,0.0
198,Sex Pistols,punk,0.5492043838770254
199,Chris Brown,r&b,0.8521862384017338
200,Deekline & Wizard,breakbeat,0.0
201,Daniela Dessì,opera,0.0
202,Hem,folk-pop,0.45343579119347505
203,Lily Allen,ska,0.5354083792298137
204,Pentangle,british invasion,0.33364914079207836
205,DJ Dips,turnablism,0.31398973328035057
206,Ana Bekuta,pop folk,0.3050742624735008
207,Jason Miles,jazz fusion,0.37176089539478846
208,Busdriver,alternative hip hop,0.3494763271978497
209,Byther Smith,chicago blues,0.3622840901263234
210,Bebo & Cigala,latin jazz,0.35162446889739807
211,Bizarre Inc,breakbeat,0.3547257553023712
212,Bongzilla,stoner metal,0.4460715844124553
213,The Gone Jackals,blues-rock,0.35300068828370523
214,The Willis Brothers,western swing,0.17306799943289988
215,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,latin jazz,0.3419045735408989
216,S.U.P,doom metal,0.272385459553457
217,Boogie Pimps,hard house,0.3653396527140089
218,Brian Keane,world beat,0.3008559001020913
219,Aberdeen,twee pop,0.3432756605456756
220,The Killers,rock,0.8195882822285578
221,Gloriana,teen pop,0.4772251904432169
222,Butterfly Temple,doom metal,0.36674393175597547
223,Grant Geissman,smooth jazz,0.31724842518014
224,20/20,power pop,0.3148821836230177
225,José Augusto,latin pop,0.32246815446359933
226,Orbital,techno,0.49866887479608674
227,Bone Thugs-N-Harmony / Akon,gangster rap,0.5551383219226409
228,Moonsorrow,viking metal,0.4426520030419225
229,N.W.A.,gangster rap,0.5204078597263393
230,Rage Against The Machine,rap metal,0.5890867998181334
231,Jazz Gillum,chicago blues,0.28228640563265106
232,Rise Against,hardcore punk,0.6250804809743595
233,Ultraviolence,gabba,0.3744494304968199
234,Korn,rap metal,0.5582983481283147
235,Sir Neville Marriner,requiem,0.35303405577540575
236,Agnes,europop,0.4413555620481791
237,James Horner,rock,0.491828704353138
238,Tantric,post-grunge,0.4671335192037262
239,The Irish Tenors,irish folk,0.37486261636349727
240,U2,dance rock,0.7503115032482077
241,Little Joe,soul jazz,0.2928015391228553
242,Blind Blake & The Royal Victoria Hotel Calypsos,country blues,0.3513450770925733
243,Percy Faith,instrumental pop,0.38811277380636255
244,Extreme,funk metal,0.4977114441406651
245,Alexandre Desplat,soundtrack,0.5603808051579506
246,Prozak,rap,0.37425994009152513
247,Jerry Butler,chicago soul,0.38958978111331777
248,Yvette Horner,chanson,0.2958898118327957
249,Delta 9,gabba,0.4095505953637158
250,Placebo,british pop,0.5864333787181634
251,Tam Tam Go!,pop rock,0.31669216154699004
252,Gertrudis,big beat,0.3448144687039853
253,Warrior King,roots reggae,0.41323788392454475
254,LORE,trip hop,0.3941275766079933
255,Soul Asylum,hard rock,0.4667756219262354
256,Carl Doy with NZSO,progressive house,0.29265645350931985
257,The Nightraver & The Magican,gabba,0.24424364253565956
258,Rah Digga (Featuring Outsidaz),hip hop,0.41144814277843267
259,RUN-DMC,hip hop,0.6066301517291853
260,Bert Kaempfert And His Orchestra,orchestra,0.3676398705552997
261,Lady May,hip hop,0.28369917555463986
262,Nightwish,sympho black metal,0.59362436552686
263,Frank Chacksfield,orchestra,0.3463575222425513
264,Cesar Camargo Mariano/Helio Delmiro,latin jazz,0.3175048563569101
265,Buzzhorn,post-grunge,0.3784984931062794
266,!!!,dance-punk,0.48213108105290364
267,The Secret Life of Teenage Girls,grindcore,0.23313168694832853
268,The Notorious B.I.G.,gangster rap,0.5065453194851007
269,Led Zeppelin,blues-rock,0.6344123849303008
270,Sandi Thom,british pop,0.40503129793646875
271,Carl Belew,rockabilly,0.25749632817123713
272,The Field Mice,twee pop,0.4092921169313016
273,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,hard bop,0.3331545078233844
274,Catherine Howe,chill-out,0.31920972076720344
275,Malkit Singh,broken beat,0.3244308919925855
276,Rodney O & Joe Cooley,miami bass,0.30790209386949613
277,Dean Martin,vocal,0.6239702655142668
278,Strata,post-grunge,0.4822988321304963
279,James Darren,brill building pop,0.34360538262619794
280,Till West & DJ Delicious,funky house,0.32684529983300464
281,Carlos Nuñez,flamenco,0.3849861165778121
282,Igor Stravinsky,ballet,0.49576633024009714
283,Gene Clark,country rock,0.5270663350675943
284,Maysa,brazilian pop music,0.40946490922770284
285,The Shirelles,doo-wop,0.379137555624937
286,The American Boychoir,j pop,0.2918834217879059
287,JDS,happy hardcore,0.4497463102603577
288,Panic At The Disco,pop punk,0.6046551281353578
289,Jan Howard,classic country,0.2586712675344854
290,Abraham Laboriel,jazz,0.29837272098690754
291,Michèle Arnaud,chanson,0.3136658169944595
292,Sticky Fingaz,hip hop,0.40378423495862525
293,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,bel canto,0.3056626196216217
294,The Jeff Healey Band,blues-rock,0.41423624772199374
295,Angela Dimitriou,pop folk,0.0
296,Danny Wilson,british pop,0.36290298564883927
297,Lionel Rogg,early music,0.2912710299960676
298,Java,musette,0.3597572438501757
299,SWAMI featuring Asuivre,downtempo,0.3807564155734675
300,The Black Velvet Band,irish folk,0.26279850496139084
301,Lisa Lynne,chill-out,0.42093775483735935
302,Pe'z,argentine rock,0.431839300933593
303,Shawn Colvin,country rock,0.44673296759009207
304,Stephy Tang,cantonese pop,0.35889349318498354
305,Backstreet Boys,teen pop,0.5926149273518344
306,Tiny Tim,cabaret,0.4048973354801111
307,Kenny G featuring Daryl Hall,instrumental pop,0.55021256191669
308,Christos Dantis,pop rock,0.41759331728140514
309,David Martin,screamo,0.31061428147376885
310,John Davis,jazz fusion,0.38763547770598455
311,Trafik,progressive house,0.4053520109500235
312,Nick Ingman;Gavyn Wright,jazz funk,0.3185360299358178
313,Eddie Calvert,cool jazz,0.31054467213545245
314,Glad,ccm,0.3722328886113136
315,Steel Rain,country rock,0.0
316,Los Manolos,flamenco,0.3205177909319608
317,Bombay Rockers,bhangra,0.33593311602215925
318,Jinx,breakbeat,0.43182488836018795
319,Chase & Status,breakbeat,0.3963562369451036
320,Tom Petty,heartland rock,0.5683505032022476
321,Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,symphonic rock,0.39137058721808954
322,Pucho & His Latin Soul Brothers,latin jazz,0.2537853129706257
323,Soul Mekanik,tech house,0.3995371359828318
324,Mitch Ryder,blues-rock,0.29405319339903574
325,Blingtones,turnablism,0.0
326,Luna Orbit Project,club,0.31066189568534663
327,Danilo Perez,latin jazz,0.3228233001362621
328,Line Renaud,chanson,0.3200869267523748
329,King Curtis,instrumental rock,0.3668207876397976
330,Sophie B. Hawkins,ballad,0.3775930817718952
331,Lupe Fiasco,hip hop,0.5546332305741549
332,Wilks,hip hop,0.08016693866425
333,Marc Shaiman,soundtrack,0.37844273654461713
334,40 Grit,nu metal,0.33135156482200656
335,Gwen Stefani,rock,0.5328035417971383
336,Steve Morse,blues-rock,0.4206925878660276
337,Bitter End,stoner metal,0.44900243552230545
338,Ethel Merman,vaudeville,0.3412547692987937
339,Leon Russell & New Grass Revival,blues-rock,0.443708895002134
340,Story Of The Year,screamo,0.5800950451989868
341,Natural Elements,hip hop,0.36953572756421016
342,Neil Sedaka,brill building pop,0.4440256810109478
343,Maurice Larcange,chanson,0.279642625276782
344,A Static Lullaby,post-hardcore,0.5575624722214324
345,Coph Nia,dark ambient,0.3549347432205644
346,Tabu feat. Mitzib,cumbia,0.44490014932326255
347,Nights Like These,doom metal,0.3107540570802664
348,Oasis,british pop,0.540216450464995
349,Stew,cabaret,0.30454771337183484
350,Jauida,male vocalist,0.36064892481202643
351,Eddy Arnold,honky tonk,0.3977756543226217
352,All Time Low,pop punk,0.5264582234639895
353,Brian Dullaghan,irish folk,0.15085776244515894
354,Richard Galliano,tango,0.42335610609447943
355,Regina Belle,vocal jazz,0.3846016855478264
356,Debbie Davies,blues-rock,0.3431334973952383
357,STEVE CAMP,ccm,0.31442818079602025
358,Jay Tee & Baby Bash,hard house,0.32815741990286423
359,The Stolen Minks,dance rock,0.2982691626980635
360,Daath,technical death metal,0.35070665990043637
361,Extasick,digital hardcore,0.2674541939157287
362,UFO,heavy metal,0.4533990832902461
363,Avril - Remix By Ana Rago,trip hop,0.43823441386890283
364,Pat Travers,blues-rock,0.38401812854257616
365,SNOWPATROL,indie rock,0.667294595643469
366,Die Fantastischen Vier,pop rap,0.5172592831380602
367,Jeanie Lambe & The Danny Moss Quartet,hip hop,0.0
368,Yung Joc,gangster rap,0.5104900809935683
369,Philippe Sarde,smooth jazz,0.34369744996261
370,Orquesta Aragón,charanga,0.3329309511939064
371,State of Chaos,tech house,0.14039047533794524
372,Dropkick Murphys,celtic punk,0.5684918154445614
373,Taint,power electronics,0.34506346668808957
374,VHS Or Beta,disco,0.42197396827851685
375,Leonard Kwan,slack key guitar,0.0
376,True Believers,melodic hardcore,0.3280733049127533
377,Les Hurlements D'leo,folk rock,0.42572813067249854
378,Charanga Forever,salsa,0.27990146228543367
379,Zuzu Bollin,r&b,0.0
380,Bullet For My Valentine,alternative metal,0.6134431982433042
381,The Hit Factory,free music,0.1665682987044909
382,Terry Snyder,space age pop,0.3209196112347896
383,Marcus Miller,jazz funk,0.41211049520526744
384,Beatnuts,grime,0.28552323045013495
385,Ayo,neo soul,0.39064123587831157
386,Kid Sister,hip house,0.4645175256716385
387,Mons Leidvin Takle,lullaby,0.28240219935191896
388,Sizzla,dancehall,0.45798167407037055
389,Helen Love,power pop,0.3470069209304056
390,David Mingyue Liang,chinese music,0.0
391,Pursuit Of Happiness,power pop,0.37788813140317173
392,Bobby Hutcherson,latin jazz,0.39329271144154976
393,Gregory Isaacs,lovers rock,0.45199859406932164
394,The Pharcyde,rap,0.4914688816374959
395,Azis,pop folk,0.3872941716940894
396,Amy Winehouse,vocal jazz,0.5837326130884718
397,George Lopez,california,0.5169637307383411
398,Les Hou-Lops,freakbeat,0.11615613420763671
399,The Cosmosamatics,free jazz,0.24305321023723342
400,Jackie Edwards,rock steady,0.35929084897032304
401,Michael Card,ccm,0.34424658036403843
402,Ensiferum,power metal,0.5148498795731506
403,Leila Chicot,zouk,0.41239071272851785
404,Erkki Junkkarinen,humppa,0.33164243923344205
405,Scar Symmetry,death metal,0.4558259788030443
406,Oztara,musette,0.3131716019482552
407,Sonia Dersion,zouklove,0.34987338133306917
408,Christina Aguilera,dance pop,0.7378841331777677
409,Headhunter,dubstep,0.44845283663706254
410,Eighteen Visions,alternative metal,0.44010799685850893
411,Baby Huey & The Baby Sitters,funk,0.33359687747547984
412,Elmore James,chicago blues,0.4348234314104437
413,Rising Lion,roots reggae,0.3071077698125448
414,George Harrison,classic rock,0.5416025025152893
415,Weezer,pop rock,0.7761677423241047
416,Boots Randolph,instrumental rock,0.33186355680198415
417,Jackson United,surf music,0.31701649456707315
418,Bobbie Gentry,country blues,0.38479890996490645
419,Creedence Clearwater Revived,country rock,0.23416989429738028
420,The Johnny Otis Orchestra,jump blues,0.3341438832906133
421,B.A.D.,dance rock,0.47363666453384023
422,Luar Na Lubre,freestyle,0.4198609939749071
423,Circular,chill-out,0.35482563880973644
424,Fruko Y Sus Tesos,salsa,0.3707476836905326
425,The Bucketheads,vocal house,0.34454060084591037
426,The Police,new wave,0.6426559611248466
427,Kinky,alternative dance,0.5535962334348039
428,The Real Kids,power pop,0.3448719221712127
429,Eddie Boyd,chicago blues,0.34940935073353896
430,Tha Chamba,rap,0.17595573819438626
431,Jack Orsen & Taktlo$$,hip hop,0.23462531427645575
432,Olov Johansson_ Catriona Mckay,world music,0.0
433,Shriekback,alternative dance,0.37479121926418446
434,Hatebreed,hardcore punk,0.5463837481981597
435,John Frizzell,soundtrack,0.3669058527885173
436,Sister Hazel,post-grunge,0.5098787078527026
437,J.J. Cale,blues-rock,0.4354688988157254
438,Precious Bryant,blues,0.32939194916225606
439,Selena,tejano,0.5458659170701919
440,Brooke Valentine,crunk,0.3590642959885093
441,Krystof,soft rock,0.3721191186306522
442,Claire Hamill,new age,0.35312499004640036
443,Los Originales De San Juan,mariachi,0.4408350067130934
444,Black Flag,hardcore punk,0.5475067753178748
445,Barbarito Diez,charanga,0.2663430816204065
446,Aaron Watson,honky tonk,0.4724954766649901
447,Mary Black,country rock,0.37655698104593144
448,Satan's Host,heavy metal,0.379902866158718
449,The Impressions,chicago soul,0.4102474074764877
450,Owl City,synthpop,0.6935247202371391
451,Bobby Bland,soul blues,0.390981123526395
452,Headliners,hard house,0.326235946430283
453,Jane Winther,meditation,0.3452847729883983
454,The Rascals,blue-eyed soul,0.40809181858752275
455,Emilia,europop,0.36967409333964446
456,Cómplices,pop rock,0.34901349777131224
457,Emilio,tejano,0.360829937368727
458,Nana Caymmi,brazilian pop music,0.3483500222239171
459,Kasia Stankiewicz,chill-out,0.39937267234086227
460,Turisas,viking metal,0.502848779215845
461,Chéco Feliciano And Joe King,salsa,0.34822672969776236
462,Cache Cache,big beat,0.3393712142461008
463,David Hudson,pop rock,0.3302126989009335
464,David Summers,pop,0.3457179318517376
465,Rummage,polka,0.18808974659151034
466,Adr Lavey,gangster rap,0.3129475097063561
467,Bill Boyd's Cowboy Ramblers,western swing,0.0
468,Canis Dirus,black metal,0.3238607504087034
469,Justin,future jazz,0.33536857774641954
470,La Portuaria,disco,0.30571905984485964
471,Antonis Remos,pop folk,0.0
472,Percy Faith And His Orchestra,orchestra,0.36134021043150916
473,Stars Like Fleas,glitch,0.33256772994550465
474,Gaetano Donizetti,bel canto,0.3621539914368024
475,Little Freddie King,new orleans blues,0.33878124511153024
476,Ms. Dynamite,grime,0.38386370432771433
477,Andy Russell,world,0.2819951088354685
478,Blink-182,power pop,0.5823463739582727
479,Kali,hip hop,0.399265149721187
480,John Brown,hard trance,0.38718194162247555
481,Abysmal Dawn,blackened death metal,0.40880107251989956
482,Chaotica,industrial rock,0.312127027438376
483,Lara & The Gumbo Lickers,visual kei,0.306947608643182
484,Elvin Bishop,blues-rock,0.4078879696190767
485,Gordon Jenkins,orchestra,0.3307538887514268
486,1. Futurologischer Congress,kraut rock,0.2569779936917517
487,Asleep At The Wheel,western swing,0.4610230157261765
488,Neil Innes,pop rock,0.3621134776387494
489,Siouxsie,dark wave,0.42311794435199923
490,Alan Silvestri,country rock,0.45077989068682317
491,Sunnyland Slim,piano blues,0.33287056693742817
492,Dusminguet,rumba,0.37082898997298236
493,Rudolph Valentino,ballad,0.28277506335743724
494,Sylvia Patricia,bossa nova,0.2643969157841352
495,Zeromancer,industrial rock,0.405618981980809
496,Two Man Advantage,thrash core,0.36890814136166966
497,Green Day,alternative rock,0.812307796138514
498,Chico,dirty south rap,0.36648330175813837
499,KALIMBA,death core,0.43514467167760446
500,SKOLD vs. KMFDM,heavy metal,0.35658034177439135
501,Architecture In Helsinki,twee pop,0.5051816158691929
502,Wailing Souls,roots reggae,0.3720690582283289
503,Kitaro,chill-out,0.45938742461313786
504,Alice In Chains,grunge,0.5829215764506247
505,Bobby Darin,brill building pop,0.4694259079758136
506,Ini Kamoze,dancehall,0.5079621447297824
507,9th Wonder featuring Defcon_ Phonte,hip hop,0.43269522885910233
508,Ill Nino,alternative metal,0.5831470220911679
509,De La Ghetto,reggaeton,0.4541596941275888
510,Baroness,sludge metal,0.4711267145212444
511,DMX / Eve / Jadakiss,hip hop,0.5088131950100051
512,Melt Banana,noise rock,0.4138850976661145
513,M.I.K.E.,progressive trance,0.4065914766883161
514,Willie Rosario,salsa,0.3381103881122617
515,Jude Taylor & His Burning Flames,zydeco,0.23378046581807407
516,Metallica,speed metal,0.7803341195734226
517,Sui Generis,cumbia,0.45054667427270134
518,The Red Telephone,power pop,0.18639631853938754
519,T-Bone,ccm,0.456631398490122
520,Bill Douglas,chamber jazz,0.343389814614625
521,DJ Spinn featuring Traxman,chicago house,0.2607967782533836
522,The Radio Dept.,shoegaze,0.5133391958475938
523,Mötley Crüe,heavy metal,0.5013606133308892
524,Shy FX & T Power,uk garage,0.36806724103089156
525,Becky Baeling,dance pop,0.33485127047376706
526,Keb' Mo',blues,0.4722812106508984
527,UKW,neue deutsche welle,0.3250229328452235
528,THE CHIFFONS,doo-wop,0.39834951712239913
529,S. Solis y Orquesta,musette,0.0
530,Commander Cody And His Lost Planet Airmen,country rock,0.3659314689846913
531,Commissioned,ccm,0.4112185252624311
532,Dee Clark,doo-wop,0.3435088776923589
533,Cauterize,pop punk,0.4177273375497167
534,Laurie Berkner,death core,0.37632596022927123
535,DJ Slugo,bass music,0.3996394901716998
536,Joi,breakbeat,0.36087146537460557
537,Simon & Garfunkel,folk-pop,0.5103249861005498
538,Beenie Man Featuring Wyclef And Redman,dancehall,0.48133930857423185
539,Greater Vision,ccm,0.3582852521807958
540,Anti-Flag,oi,0.5243789875148084
541,Joe Lynn Turner,hard rock,0.3649755953962232
542,Rickie Lee Jones,folk rock,0.5031516059846183
543,Hysterie,tech house,0.2555648681592075
544,Aesop Rock,underground rap,0.4773108810670025
545,Bobby Vee,brill building pop,0.39524762318141715
546,Alfredo Gutiérrez,louisiana blues,0.2792557598816767
547,Shelby Lynne,country rock,0.5425020961048547
548,Tora Tora,glam metal,0.36982344721963717
549,Franz Ferdinand,art rock,0.5830222914078295
550,Hot Chip,dance rock,0.5357631577199824
551,Gal Costa,brazilian pop music,0.4374645536949841
552,Kathy Mattea,bluegrass,0.42212719929260334
553,James Taylor,folk-pop,0.6282283873127827
554,Der Moderne Man,new wave,0.29398439015383726
555,Jeff Beck,blues-rock,0.5299958328993075
556,Taboo,new beat,0.3396275610443634
557,BigElf,stoner rock,0.3641638102724453
558,Tanto Metro & Devonte,dancehall,0.33672684140890796
559,Ray Kane,island music,0.2798423161638639
560,Ashes to Ashes,avantgarde metal,0.3588450251644818
561,Kelly Clarkson,teen pop,0.684478823308873
562,Fudge Tunnel,sludge metal,0.3523420130063612
563,Edgar Bori,los angeles,0.3335571586810799
564,Jimmy Witherspoon,jazz blues,0.35344185300598147
565,Dave Eggar,new age,0.2677574953811427
566,Donnie Brooks,oldies,0.26949647853738856
567,2raumwohnung,tech house,0.3975695954429906
568,SOJA,roots reggae,0.4367829494947106
569,Dinosaur Jr.,indie rock,0.5515524551563505
570,Ulytau,folk metal,0.33618612815596594
